actor_clean,actor_clean_lower,left,right,centre,unknown
Labor Group (France),labor group (france),1,0,0,0
North Korean Group (United Kingdom),north korean group (united kingdom),0,0,0,1
Government of the United Kingdom (2024-),government of the united kingdom (2024-),1,0,0,0
Students (Sweden),students (sweden),0,0,0,1
Government of the United Kingdom (2024-) Northern Ireland Executive,government of the united kingdom (2024-) northern ireland executive,1,0,0,0
Moldovan Group (United Kingdom),moldovan group (united kingdom),0,0,0,1
Government of Palestine (1994-) Palestinian National Authority,government of palestine (1994-) palestinian national authority,0,0,0,1
Protesters (Palestine),protesters (palestine),0,0,0,1
Irish Group (Northern Ireland),irish group (northern ireland),0,0,0,1
Chagossian Ethnic Group (United Kingdom),chagossian ethnic group (united kingdom),0,0,0,1
Venezuelan Group (United Kingdom),venezuelan group (united kingdom),0,0,0,1
Government of Israel (2022-),government of israel (2022-),0,0,0,1
Party of Women,party of women,1,0,0,0
Bangladeshi Group (United Kingdom),bangladeshi group (united kingdom),0,0,0,1
Syrian Group (United Kingdom),syrian group (united kingdom),0,0,0,1
WWF: World Wildlife Fund,wwf: world wildlife fund,1,0,0,0
Cypriot Group (United Kingdom),cypriot group (united kingdom),0,0,0,1
Government of China (2012-),government of china (2012-),0,0,0,1
Labor Group (China),labor group (china),1,0,0,0
