actor_clean,actor_clean_lower,left,right,centre,unknown
Romani Ethnic Group (Italy),romani ethnic group (italy),0,0,0,1
SPC: Left Common Project,spc: left common project,1,0,0,0
Women's March,women's march,1,0,0,0
SiNAPPe: National Autonomous Trade Union of Prison Guards,sinappe: national autonomous trade union of prison guards,0,0,0,1
Prisoners (Morocco),prisoners (morocco),0,0,0,1
Protesters (Morocco),protesters (morocco),0,0,0,1
Refugees/IDPs (Morocco),refugees/idps (morocco),0,0,0,1
Mediterranea Saving Humans,mediterranea saving humans,1,0,0,0
Our Italy,our italy,0,0,0,1
OSAPP: Autonomous Trade Union of Prison Police,osapp: autonomous trade union of prison police,0,0,0,1
Farmers (Bulgaria),farmers (bulgaria),0,0,0,1
CNPP: National Coordination of Prison Police,cnpp: national coordination of prison police,0,0,0,1
S.PP: Union of Prison Police,s.pp: union of prison police,0,0,0,1
CONF.I.A.L - Italian Confederation of Independent Workers,conf.i.a.l - italian confederation of independent workers,0,0,0,1
August 24 Movement,august 24 movement,0,0,0,1
Justice for Taranto,justice for taranto,1,0,0,0
AMICA: Italian Doctors' Association Contraception and Abortion,amica: italian doctors' association contraception and abortion,1,0,0,0
Laiga: Free Italian Association of Gynecologists for Application of Law 194,laiga: free italian association of gynecologists for application of law 194,1,0,0,0
Critical Mass,critical mass,1,0,0,0
ANDDL: National Association of Teachers for Workers' Rights,anddl: national association of teachers for workers' rights,0,0,0,1
VFS: Skinheads Front Veneto,vfs: skinheads front veneto,0,1,0,0
Christian Group (Italy),christian group (italy),0,0,0,1
AMA: Italian Doctors for the Environment,ama: italian doctors for the environment,1,0,0,0
Mountain Wilderness,mountain wilderness,1,0,0,0
FSP: Police Union Federation,fsp: police union federation,0,0,0,1
OIPA: International Organization for Animal Protection,oipa: international organization for animal protection,1,0,0,0
Protesters (China),protesters (china),0,0,0,1
Consulcesi,consulcesi,0,0,0,1
CUA: Autonomous University Collective,cua: autonomous university collective,0,0,0,1
ARAS: Regional Association of Sardinian Breeders,aras: regional association of sardinian breeders,0,0,0,1
Farmers (India),farmers (india),0,0,0,1
Protesters (India),protesters (india),0,0,0,1
Refugees/IDPs (Algeria),refugees/idps (algeria),0,0,0,1
Never with Salvini,never with salvini,0,0,0,1
Cape Verdean Group (Italy),cape verdean group (italy),0,0,0,1
Pitchforks Movement,pitchforks movement,1,0,0,0
PEL: Party of the European Left,pel: party of the european left,1,0,0,0
Sea-Watch,sea-watch,1,0,0,0
Migrants (Somalia),migrants (somalia),0,0,0,1
EV: Green Europe,ev: green europe,1,0,0,0
Citizen Committee for Health and Environment in Taranto,citizen committee for health and environment in taranto,1,0,0,0
LIPU: Italian League for Bird Protection,lipu: italian league for bird protection,1,0,0,0
Rise Up 4 Climate Justice,rise up 4 climate justice,1,0,0,0
Catholic Alliance,catholic alliance,0,0,0,1
End Sars,end sars,1,0,0,0
Nigerian Group (Italy),nigerian group (italy),0,0,0,1
CIA: Italian Farmers Confederation,cia: italian farmers confederation,0,0,0,1
Confagricoltura,confagricoltura,0,0,0,1
SAP: Autonomous Police Union,sap: autonomous police union,0,0,0,1
CLNV: Veneto National Liberation Committee,clnv: veneto national liberation committee,0,0,0,1
LeU: Free and Equal,leu: free and equal,1,0,0,0
GOIA: Organized Group of Independent Businesses,goia: organized group of independent businesses,0,0,0,1
Military Forces of Italy (2018-2022),military forces of italy (2018-2022),0,0,0,1
PdF: People of Family,pdf: people of family,0,1,0,0
3V Movement,3v movement,0,0,0,1
Students (China),students (china),0,0,0,1
WILPF: Women's International League for Peace and Freedom,wilpf: women's international league for peace and freedom,1,0,0,0
Volt Italy,volt italy,0,0,1,0
Women in Black,women in black,1,0,0,0
TNI: National Protection for Businesses,tni: national protection for businesses,0,0,0,1
Protesters (Slovenia),protesters (slovenia),0,0,0,1
LS: The Left,ls: the left,1,0,0,0
Filipino Group (Italy),filipino group (italy),0,0,0,1
Senegalese Group (Italy),senegalese group (italy),0,0,0,1
Caritas,caritas,1,0,0,0
Labor Group (Senegal),labor group (senegal),0,0,0,1
Migrants (Senegal),migrants (senegal),0,0,0,1
Refugees/IDPs (Senegal),refugees/idps (senegal),0,0,0,1
Farmers (Tunisia),farmers (tunisia),0,0,0,1
Loyalty Action,loyalty action,0,0,1,0
Free Patrick,free patrick,1,0,0,0
Federfarma,federfarma,0,0,0,1
SLAI COBAS: Self-organized Workers Inter-Branch Union,slai cobas: self-organized workers inter-branch union,1,0,0,0
Civic Escort,civic escort,0,0,0,1
Tricolor Flame,tricolor flame,0,1,0,0
PSI: Italian Socialist Party,psi: italian socialist party,1,0,0,0
AEPC: American Expats for Positive Change,aepc: american expats for positive change,0,0,0,1
Civilians (United States),civilians (united states),0,0,0,1
Protesters (United States),protesters (united states),0,0,0,1
Our Voice,our voice,0,0,0,1
PETA: People for the Ethical Treatment of Animals,peta: people for the ethical treatment of animals,1,0,0,0
CIB Unicobas,cib unicobas,1,0,0,0
EMERGENCY,emergency,0,0,0,1
LES: Police Union,les: police union,0,0,0,1
Police Forces of Italy (2018-2022) Guardia di Finanza,police forces of italy (2018-2022) guardia di finanza,0,0,0,1
SIM: Italian Military Union,sim: italian military union,0,0,0,1
Protesters (Ecuador),protesters (ecuador),0,0,0,1
Indian Group (Italy),indian group (italy),0,0,0,1
No Grandi Navi Committee,no grandi navi committee,1,0,0,0
No MOSE,no mose,1,0,0,0
SIULP: Police Workers Unitary Italian Union,siulp: police workers unitary italian union,0,0,0,1
SI COBAS: Inter-category Trade Union,si cobas: inter-category trade union,1,0,0,0
Albanian Group (Italy),albanian group (italy),0,0,0,1
CPOG: Political Collective Gramigna,cpog: political collective gramigna,1,0,0,0
CSA: Azadi Student Coordination,csa: azadi student coordination,1,0,0,0
Athamanta,athamanta,0,0,0,1
ND: We Will Accuse,nd: we will accuse,0,0,0,1
Egyptian Group (Italy),egyptian group (italy),0,0,0,1
Polish Group (Italy),polish group (italy),0,0,0,1
Fight Movement - Unemployed '7 November',fight movement - unemployed '7 november',0,0,0,1
CNAL: National Confederation of Workers,cnal: national confederation of workers,0,0,0,1
No TRIV,no triv,1,0,0,0
Military Forces of Italy (2018-2022) Coast Guard,military forces of italy (2018-2022) coast guard,0,0,0,1
PPdE: Pensioners' Party of Europe,ppde: pensioners' party of europe,0,0,0,1
