actor_clean,actor_clean_lower,left,right,centre,unknown
MNCP: National Movement of Unemployed and Precarious,mncp: national movement of unemployed and precarious,1,0,0,0
SNALC: National Education Staff Union,snalc: national education staff union,0,1,0,0
USM: Union of Magistrates,usm: union of magistrates,0,0,1,0
EU: European Union,eu: european union,0,0,0,1
PaP: For Peace,pap: for peace,0,0,0,1
PNC: Party of the Corsican Nation,pnc: party of the corsican nation,0,0,0,1
Prisoners (International),prisoners (international),0,0,0,1
EAG: Together Left,eag: together left,1,0,0,0
Tunisian Group (France),tunisian group (france),0,0,0,1
Protesters (Mexico),protesters (mexico),0,0,0,1
DSP: Democratic Left Party,dsp: democratic left party,1,0,0,0
WWF: World Wildlife Fund,wwf: world wildlife fund,1,0,0,0
Refugees/IDPs (Afghanistan),refugees/idps (afghanistan),0,0,0,1
ADAPEI: Departmental Association of Parents and Friends of People with Mental Disorders,adapei: departmental association of parents and friends of people with mental disorders,1,0,0,0
Aid Workers (France),aid workers (france),0,0,0,1
SOS Homophobie,sos homophobie,0,0,0,1
CRIF: Representative Council of French Jewish Institutions,crif: representative council of french jewish institutions,0,0,0,1
Protesters (United Kingdom),protesters (united kingdom),0,0,0,1
Afghan Group (France),afghan group (france),0,0,0,1
PA: Animalist Party,pa: animalist party,1,0,0,0
Breton Group (France),breton group (france),0,0,0,1
POI: Independent Workers' Party,poi: independent workers' party,1,0,0,0
Together!,together!,0,0,0,1
ICRC: International Committee of the Red Cross,icrc: international committee of the red cross,1,0,0,0
Zouaves Paris,zouaves paris,0,1,0,0
Sudanese Group (France),sudanese group (france),0,0,0,1
RN: National Rally,rn: national rally,0,1,0,0
Basque Group (Spain),basque group (spain),0,0,0,1
Euskal Herria Bildu,euskal herria bildu,1,0,0,0
UDI: Union of Democrats and Independents,udi: union of democrats and independents,0,0,1,0
PC: Communist Party,pc: communist party,1,0,0,0
Free Party,free party,0,0,0,1
JC: Young Communists,jc: young communists,1,0,0,0
Refugees/IDPs (Mali),refugees/idps (mali),0,0,0,1
Burmese Group (France),burmese group (france),0,0,0,1
Protesters (Myanmar),protesters (myanmar),0,0,0,1
Teachers (Switzerland),teachers (switzerland),0,0,0,1
Former Police Forces of France (2017-),former police forces of france (2017-),0,0,0,1
Chechen Ethnic Group (France),chechen ethnic group (france),0,0,0,1
Comorian Group (France),comorian group (france),0,0,0,1
FA-FPT: Autonomous Federation of Territorial Public Service (Reunion),fa-fpt: autonomous federation of territorial public service (reunion),0,0,0,1
Protesters (Guinea),protesters (guinea),0,0,0,1
Refugees/IDPs (Guinea),refugees/idps (guinea),0,0,0,1
Protesters (Albania),protesters (albania),0,0,0,1
Refugees/IDPs (Albania),refugees/idps (albania),0,0,0,1
UDB: Breton Democratic Union,udb: breton democratic union,0,0,0,1
Russian Group (France),russian group (france),0,0,0,1
Refugees/IDPs (Serbia),refugees/idps (serbia),0,0,0,1
Colombian Group (France),colombian group (france),0,0,0,1
Protesters (Palestine),protesters (palestine),0,0,0,1
Refugees/IDPs (Palestine),refugees/idps (palestine),0,0,0,1
World Wide Rally for Freedom,world wide rally for freedom,0,0,0,1
Occitan Party,occitan party,1,0,0,0
Cuban Group (France),cuban group (france),0,0,0,1
Students (Mali),students (mali),0,0,0,1
Syrian Group (France),syrian group (france),0,0,0,1
KPL: Communist Party of Luxembourg,kpl: communist party of luxembourg,1,0,0,0
PVDA-PTB: Workers Party of Belgium,pvda-ptb: workers party of belgium,1,0,0,0
The Left (Germany),the left (germany),1,0,0,0
The Left (Luxembourg),the left (luxembourg),1,0,0,0
Romani Ethnic Group (France),romani ethnic group (france),0,0,0,1
DLF: France Arise,dlf: france arise,0,1,0,0
No Border Network,no border network,1,0,0,0
SLT: Earth Uprisings,slt: earth uprisings,1,0,0,0
Zero Waste Europe,zero waste europe,1,0,0,0
Labor Group (Luxembourg),labor group (luxembourg),0,0,0,1
OGBL: Independent Union Luxembourg,ogbl: independent union luxembourg,1,0,0,0
Tibetan Group (France),tibetan group (france),0,0,0,1
Migrants (Sudan),migrants (sudan),0,0,0,1
Iranian Group (France),iranian group (france),0,0,0,1
SM: Magistrate's Union,sm: magistrate's union,1,0,0,0
SPS: Prison Guards Union,sps: prison guards union,0,1,0,0
FGR: Federation of the Republican Left,fgr: federation of the republican left,1,0,0,0
ANPJ: National Association of Judicial Police,anpj: national association of judicial police,0,0,0,1
Ukrainian Group (France),ukrainian group (france),0,0,0,1
Students (Ukraine),students (ukraine),0,0,0,1
"NUPES: New Popular, Ecological and Social Union","nupes: new popular, ecological and social union",1,0,0,0
Horizons,horizons,0,0,1,0
RE: Renaissance,re: renaissance,0,0,1,0
VL: High School Voice,vl: high school voice,0,0,0,1
Protesters (Iran),protesters (iran),0,0,0,1
Women (Iran),women (iran),0,0,0,1
Ecologist Pole,ecologist pole,1,0,0,0
Equatorial Guinean Group (France),equatorial guinean group (france),0,0,0,1
Government of Equatorial Guinea (1979-),government of equatorial guinea (1979-),0,0,0,1
SNP: National Syndicate of Psychologists,snp: national syndicate of psychologists,0,0,0,1
No TAV Movement,no tav movement,0,0,0,1
Protesters (Greece),protesters (greece),0,0,0,1
Students for Climate,students for climate,1,0,0,0
Greens/EFA: Greens-European Free Alliance,greens/efa: greens-european free alliance,1,0,0,0
Polish Group (France),polish group (france),0,0,0,1
Government of Ukraine (2019-),government of ukraine (2019-),0,0,0,1
Refugees/IDPs (Ukraine),refugees/idps (ukraine),0,0,0,1
Labor Group (Ukraine),labor group (ukraine),0,0,0,1
Women (Colombia),women (colombia),0,0,0,1
Orthodox Christian Group (France),orthodox christian group (france),0,0,0,1
PCRF: French Revolutionary Comunist Party,pcrf: french revolutionary comunist party,1,0,0,0
Radical Party (France),radical party (france),1,0,0,0
Government of Comoros (2016-),government of comoros (2016-),0,0,0,1
Protesters (Comoros),protesters (comoros),0,0,0,1
Tibetan Group (Belgium),tibetan group (belgium),0,0,0,1
Tibetan Group (Spain),tibetan group (spain),0,0,0,1
Tibetan Group (Switzerland),tibetan group (switzerland),0,0,0,1
UCP: Union of Syndicates of Executives of Paris,ucp: union of syndicates of executives of paris,0,0,0,1
Women (Russia),women (russia),0,0,0,1
MoDem: Democratic Movement,modem: democratic movement,0,0,1,0
Reconquest Party,reconquest party,0,1,0,0
Students (Iran),students (iran),0,0,0,1
PB: Breton Party,pb: breton party,1,0,0,0
Senegalese Group (France),senegalese group (france),0,0,0,1
Refugees/IDPs (Iran),refugees/idps (iran),0,0,0,1
Government of Armenia (2018-),government of armenia (2018-),0,0,0,1
Hazara Ethnic Group (France),hazara ethnic group (france),0,0,0,1
Shiite Muslim Group (France),shiite muslim group (france),0,0,0,1
DVG: Miscellaneous Left,dvg: miscellaneous left,1,0,0,0
PDF: Party of France,pdf: party of france,0,1,0,0
ERC: Catalan Republican Left,erc: catalan republican left,1,0,0,0
Former Government of Spain (2020-),former government of spain (2020-),1,0,0,0
No Global Movement,no global movement,0,0,0,1
Chinese Group (France),chinese group (france),0,0,0,1
POID: Independent Democratic Workers Party,poid: independent democratic workers party,1,0,1,0
PKK: Kurdistan Workers' Party,pkk: kurdistan workers' party,1,0,0,0
Labor Group (Germany),labor group (germany),0,0,0,1
GDS: Social Democratic Left,gds: social democratic left,1,0,0,0
Together for the Republic,together for the republic,0,0,1,0
Catalan Group (France),catalan group (france),0,0,0,1
Government of Turkey (2016-),government of turkey (2016-),0,0,0,1
Protesters (Turkey),protesters (turkey),0,0,0,1
Last Renovation,last renovation,1,0,0,0
Last Generation (Italy),last generation (italy),1,0,0,0
Ukrainian Group (Switzerland),ukrainian group (switzerland),0,0,0,1
CNPMEM: National Committee for Maritime Fisheries and Sea Ranching,cnpmem: national committee for maritime fisheries and sea ranching,0,0,0,1
UCIJ: United Against Disposable Immigration,ucij: united against disposable immigration,1,0,0,0
For Brittany!,for brittany!,0,0,0,1
AMF: Association of French Mayors and Intercommunal Presidents,amf: association of french mayors and intercommunal presidents,0,1,0,0
LE: The Ecologists,le: the ecologists,1,0,0,0
DVD: Miscellaneous Right,dvd: miscellaneous right,0,1,0,0
"BDS: Boycott, Divestment and Sanctions","bds: boycott, divestment and sanctions",1,0,0,0
Sahrawi Ethnic Group (France),sahrawi ethnic group (france),0,0,0,1
Kabylian Ethnic Group (France),kabylian ethnic group (france),0,0,0,1
Women (Afghanistan),women (afghanistan),0,0,0,1
Arab Group (France),arab group (france),0,0,0,1
RP: Permanent Revolution,rp: permanent revolution,1,0,0,0
Farmers (International),farmers (international),0,0,0,1
Serbian Group (France),serbian group (france),0,0,0,1
LAB: Abertzales Workers' Committees,lab: abertzales workers' committees,1,0,0,0
